Code	Description	Information
31CE	CHELAN	<country>UNITED STATES</country>
31CF	CRAWFORD	<country>UNITED STATES</country>
31CG	C. H. GILBERT	<country>UNITED STATES</country>
31CH	CHANCE	<country>UNITED STATES</country><callsign>9HYN3</callsign>
31CI	CHAIN	<country>UNITED STATES</country>
31CJ	COGSWELL	<country>UNITED STATES</country>
31CK	CASTLE ROCK	<country>UNITED STATES</country>
31CL	CALANUS	<country>UNITED STATES</country>
31CM	CAMPBELL	<country>UNITED STATES</country>
31CN	CARNEGIE	<country>UNITED STATES</country>
31CO	COOK INLET	<country>UNITED STATES</country>
31CP	CARPELLOTTI	<country>UNITED STATES</country>
31CQ	CHAUTAUQUA	<country>UNITED STATES</country>
31CR	CREST	<country>UNITED STATES</country>
31CS	CASCO	<country>UNITED STATES</country>
31CT	CANISTEO	<country>UNITED STATES</country>
31CU	COMMANDO	<country>UNITED STATES</country>
31CV	CORDOVA SKIFF	<country>UNITED STATES</country>
31CW	COWANESQUE	<country>UNITED STATES</country>
31CX	CELTIC	<country>UNITED STATES</country>
31CY	CYRUS FIELD	<country>UNITED STATES</country>
31CZ	COMPASS ISLAND	<country>UNITED STATES</country>
31D0	DEMERSAL	<title>R/V</title><country>UNITED STATES</country>
31D1	DIAMOND SHOALS L/S	<country>UNITED STATES</country>
31D2	DURABLE	<country>UNITED STATES</country>
31D3	DENEBOLA	<country>UNITED STATES</country><callsign>SQDT</callsign>
31D4	DUNCAN	<country>UNITED STATES</country>
31D5	DE HAVEN	<country>UNITED STATES</country>
31D6	BRADFORD	<country>UNITED STATES</country><callsign>GMRA</callsign>
31D7	DUPONT	<country>UNITED STATES</country>
31D8	DAMATO	<country>UNITED STATES</country>
31D9	DALY	<country>UNITED STATES</country>
31DA	DARBY	<country>UNITED STATES</country>
31DB	DIVING BELL	<country>UNITED STATES</country>
31DC	DETECTOR	<country>UNITED STATES</country><callsign>HP7259</callsign>
31DD	B. STODDERT	<country>UNITED STATES</country>
31DE	DELAWARE	<country>UNITED STATES</country><notes>1937-1962</notes>
31DF	C. F. ADAMS	<country>UNITED STATES</country>
31DG	DALLAS	<country>UNITED STATES</country>
31DH	DASH	<country>UNITED STATES</country>
31DI	DAVIS	<country>UNITED STATES</country><callsign>NDLV</callsign>
31DJ	J. DANIELS	<country>UNITED STATES</country>
31DK	MCDERMUT	<country>UNITED STATES</country>
31DL	DELAWARE L/S	<country>UNITED STATES</country>
31DM	DOMINENT	<country>UNITED STATES</country>
31DN	DIACHENKO	<country>UNITED STATES</country>
31DO	CAPE DECISION	<country>UNITED STATES</country><callsign>WMGD</callsign>
31DP	DOLPHIN	<country>UNITED STATES</country>
31DQ	BADGER	<country>UNITED STATES</country>
31DR	DIRECT	<country>UNITED STATES</country>
31DS	DISCOVERER	<country>UNITED STATES</country>
31DT	DUTTON	<country>UNITED STATES</country>
31DU	DUANE	<country>UNITED STATES</country>
31DV	DAVIDSON	<country>UNITED STATES</country>
31DW	GEN. W. O. DARBY	<country>UNITED STATES</country>
31DX	ENHANCE	<country>UNITED STATES</country>
31DY	DYESS	<country>UNITED STATES</country>
31DZ	DEALEY	<country>UNITED STATES</country>
31E0	USS SEA OWL	<country>UNITED STATES</country><notes>NOWL</notes>
31E1	CHASE	<country>UNITED STATES</country>
31E2	SERENA	<country>UNITED STATES</country><callsign>J8IT3</callsign>
31E3	EVANS	<country>UNITED STATES</country><callsign>3EIE9</callsign>
31E4	BEARSS	<country>UNITED STATES</country>
31E5	SELLSTROM	<country>UNITED STATES</country>
31E6	EMBATTLE	<country>UNITED STATES</country>
31E7	EVERSOLE	<country>UNITED STATES</country>
31E8	S. B. ROBERTS	<country>UNITED STATES</country>
31E9	HENDERSON	<country>UNITED STATES</country>
31EA	EAGLE	<country>UNITED STATES</country>
31EB	ELLEN B. SCRIPPS	<country>UNITED STATES</country>
31EC	EPCE	<country>UNITED STATES</country><notes>ALL EPCE'S</notes>
31ED	EDISTO	<country>UNITED STATES</country>
31EE	EPPERSON	<country>UNITED STATES</country>
31EF	R. S. EDWARDS	<country>UNITED STATES</country>
31EG	ENERGY	<country>UNITED STATES</country><callsign>P3TV3</callsign>
31EH	H. J. ELLISON	<country>UNITED STATES</country>
31EI	STICKELL	<country>UNITED STATES</country>
31EJ	ENGLISH	<country>UNITED STATES</country>
31EK	ELDRED ROCK	<country>UNITED STATES</country>
31EL	ELDORADO	<country>UNITED STATES</country><callsign>JWNB</callsign>
31EM	SEMMES	<country>UNITED STATES</country>
31EN	ESCANABA	<country>UNITED STATES</country>
31EO	EDSON	<country>UNITED STATES</country>
31EP	EXPLOIT	<country>UNITED STATES</country>
31EQ	BEGOR	<country>UNITED STATES</country>
31ER	ERIKA DAN	<country>UNITED STATES</country>
31ES	E. W. SCRIPPS	<country>UNITED STATES</country>
31ET	ELTANIN	<title>USNS</title><country>UNITED STATES</country><platformclass>31 Research vessel</platformclass><commissioned>1962</commissioned><decommissioned>1975</decommissioned><notes>Built by U.S. Navy as non-commissioned cargo ship with ice-strengthened double hull, reclassified 1962 as oceanographic research vessel (AGOR-8) and operated by Lamont-Doherty Earth Observatory of Columbia University. Sold 1975 to Argentine Navy, renamed Islas Orcadas. WOD Ship Code 1514</notes>
31EU	EXULTANT	<country>UNITED STATES</country>
31EV	EVERGREEN	<country>UNITED STATES</country>
31EW	EASTWIND	<country>UNITED STATES</country>
31EX	EXPLORER	<country>UNITED STATES</country>
31EY	REMEY	<country>UNITED STATES</country>
31EZ	EASTWARD	<country>UNITED STATES</country>
31F0	USNS PECOS	<country>UNITED STATES</country><callsign>NPEC</callsign>
31F1	MCCAFFERY	<country>UNITED STATES</country>
31F2	FLETCHER	<country>UNITED STATES</country>
31F3	FINCH	<country>UNITED STATES</country>
31F4	PORTERFIELD	<country>UNITED STATES</country>
31F5	FIVE FINGER	<country>UNITED STATES</country>
31F6	FIRM	<country>UNITED STATES</country>
31F7	F. SHERMAN	<country>UNITED STATES</country>
31F8	F. E. EVANS	<country>UNITED STATES</country>
31F9	A. W. RADFORD	<country>UNITED STATES</country>
31FA	FALCON	<country>UNITED STATES</country>
31FB	F. T. BERRY	<country>UNITED STATES</country>
31FC	FLORIKAN	<country>UNITED STATES</country>
31FD	FIDELITY	<country>UNITED STATES</country>
31FE	FIESTA	<country>UNITED STATES</country>
31FF	FIVE FATHOM BANK L/S	<country>UNITED STATES</country>
31FG	FALGOUT	<country>UNITED STATES</country>
31FH	FISH HAWK	<country>UNITED STATES</country>
31FI	FIEBERLING	<country>UNITED STATES</country>
31FJ	FLOAT JUNEAU, A. J.	<country>UNITED STATES</country>
31FK	FISKE	<country>UNITED STATES</country>
31FL	SARSFIELD	<country>UNITED STATES</country>
31FM	MISS FLETA	<country>UNITED STATES</country>
31FN	MILLER FREEMAN	<country>UNITED STATES</country><callsign>WTDM</callsign>
31FO	FORSTER	<country>UNITED STATES</country>
31FP	FLIP	<country>UNITED STATES</country>
31FQ	SUFFOLK COUNTY	<country>UNITED STATES</country>
31FR	FRYING PAN SHOALS L/S	<country>UNITED STATES</country>
31FS	FEARLESS	<country>UNITED STATES</country>
31FT	FECHTELER	<country>UNITED STATES</country>
31FU	FURMAN	<country>UNITED STATES</country>
31FV	FURSE	<country>UNITED STATES</country>
31FW	AFRICAN RAINBOW	<country>UNITED STATES</country>
31FX	M. C. FOX	<country>UNITED STATES</country>
31FY	H. J. W. FAY	<country>UNITED STATES</country>
31FZ	E. F. LARSON	<country>UNITED STATES</country>
31G0	USS DARTER	<country>UNITED STATES</country><notes>SS-576</notes>
31G1	GLENNON	<country>UNITED STATES</country>
31G2	GEARING	<country>UNITED STATES</country>
31G3	GUS III	<country>UNITED STATES</country>
31G4	GOLDEN EAGLE	<country>UNITED STATES</country>
31G5	E. A. GREENE	<country>UNITED STATES</country>
31G6	GREEN SEAS	<country>UNITED STATES</country>
31G7	GYATT	<country>UNITED STATES</country>
31G8	LANSING	<country>UNITED STATES</country>
31G9	GATLING	<country>UNITED STATES</country>
31GA	GANNET	<country>UNITED STATES</country>
31GB	GOLDBERGER	<country>UNITED STATES</country>
31GC	POCONO	<country>UNITED STATES</country>
31GD	GUARD ISLAND	<country>UNITED STATES</country>
31GE	GERDA	<country>UNITED STATES</country>
31GF	GREGORY	<country>UNITED STATES</country>
31GG	GEN. GREENE	<country>UNITED STATES</country>
31GH	GRESHAM	<country>UNITED STATES</country>
31GI	GILLISS	<country>UNITED STATES</country>
31GJ	T. J. GARY	<country>UNITED STATES</country>
31GK	GREENWOOD	<country>UNITED STATES</country>
31GL	GLACIER	<country>UNITED STATES</country>
31GM	GEN. M. ROSE	<country>UNITED STATES</country>
31GN	GERONIMO	<country>UNITED STATES</country>
31GO	GOSNOLD	<country>UNITED STATES</country>
31GP	GEN. E. D. PATRICK	<country>UNITED STATES</country>
31GQ	AGERHOLM	<country>UNITED STATES</country>
31GR	GRAMPUS	<country>UNITED STATES</country>
31GS	GEN. D. L. SULTAN	<country>UNITED STATES</country>
31GT	GALATHEA	<country>UNITED STATES</country>
31GU	GUIDE	<title>USS</title><country>UNITED STATES</country><platformclass>39 Naval vessel</platformclass><callsign>WBO3340</callsign><commissioned>1955-03-15</commissioned><decommissioned>1972-07-09</decommissioned><notes>Hull Classification: MSO-477</notes>
31GV	GUARDIAN	<country>UNITED STATES</country>
31GW	GEN. W. H. GORDON	<country>UNITED STATES</country>
31GX	GOODRICH	<country>UNITED STATES</country>
31GY	USS GETTYSBURG	<country>UNITED STATES</country><notes>CG-64</notes>
31GZ	MCGOWAN	<country>UNITED STATES</country>
31H0	USS MONTEREY	<country>UNITED STATES</country><callsign>NRAR</callsign>
31H1	HULL	<country>UNITED STATES</country>
31H2	HYDAH	<country>UNITED STATES</country>
31H3	CHEVALIER	<country>UNITED STATES</country>
31H4	HOLDER	<country>UNITED STATES</country>
31H5	HARTLEY	<country>UNITED STATES</country>
31H6	HANNA	<country>UNITED STATES</country>
31H7	R. K. HUNTINGTON	<country>UNITED STATES</country>
31H8	CHAMBERS	<country>UNITED STATES</country>
31H9	HISSEM	<country>UNITED STATES</country>
31HA	HALYCON	<country>UNITED STATES</country>
31HB	HARWOOD	<country>UNITED STATES</country>
31HC	HARRIS COUNTY	<country>UNITED STATES</country>
31HD	HIDATSA	<country>UNITED STATES</country>
31HE	HERON	<country>UNITED STATES</country>
31HF	HYDROGRAPHIC FIELD PARTY 742	<country>UNITED STATES</country>
31HG	HODGSON	<country>UNITED STATES</country>
31HH	H. C. HAYES	<country>UNITED STATES</country>
31HI	HIDALGO	<country>UNITED STATES</country>
31HJ	L. HANCOCK	<country>UNITED STATES</country>
31HK	HECK	<country>UNITED STATES</country><callsign>WTEY</callsign>
31HL	SIR H. LAMB	<country>UNITED STATES</country>
31HM	HALF MOON	<country>UNITED STATES</country>
31HN	HANNIBAL	<country>UNITED STATES</country>
31HO	HORIZON	<country>UNITED STATES</country>
31HP	SHOUP	<country>UNITED STATES</country>
31HQ	H. E. HUBBARD	<country>UNITED STATES</country>
31HR	HORNE	<country>UNITED STATES</country>
31HS	H. M. SMITH	<country>UNITED STATES</country>
31HT	HAMILTON	<country>UNITED STATES</country>
31HU	HUMBOLDT	<country>UNITED STATES</country>
31HV	F. V. HUNT	<country>UNITED STATES</country>
31HW	HAYNSWORTH	<country>UNITED STATES</country>
31HX	ALPHA HELIX	<title>RV</title><IMO>6600905</IMO><country>UNITED STATES</country><platformclass>31 Research vessel</platformclass><callsign>WSD7078</callsign><commissioned>1966</commissioned><notes>In 2007 University of Alaska Fairbanks sold the vessel to Stabbert Maritime</notes>
31HY	HYDROGRAPHER	<country>UNITED STATES</country>
31HZ	HOLLISTER	<country>UNITED STATES</country>
31I0	USCGC LEGARE	<country>UNITED STATES</country><notes>WMEC-912</notes>
31I1	SHIELDS	<country>UNITED STATES</country>
31I2	ISHERWOOD	<country>UNITED STATES</country>
31I3	INTERCEPTOR	<country>UNITED STATES</country>
31I4	MILLER	<country>UNITED STATES</country>
31I5	MITSCHER	<country>UNITED STATES</country>
31I6	LIMPKINS	<country>UNITED STATES</country>
31I7	A. A. CUNNINGHAM	<country>UNITED STATES</country>
31I8	BITTERN	<country>UNITED STATES</country>
31I9	INTERPRETER	<country>UNITED STATES</country>
31IA	BLAIR	<country>UNITED STATES</country>
31IB	BRAINE	<country>UNITED STATES</country>
31IC	SISCOWET	<country>UNITED STATES</country>
31ID	K. D. BAILEY	<country>UNITED STATES</country>
31IE	INGERSOLL	<country>UNITED STATES</country>
31IF	MIKE BOAT	<country>UNITED STATES</country>
31IG	J. INGRAM	<country>UNITED STATES</country>
31IH	CHIPOLA	<country>UNITED STATES</country>
31II	John S. MCCAIN	<country>UNITED STATES</country><platformclass>39 Naval vessel</platformclass><callsign>NBXY</callsign><commissioned>1953-10-12</commissioned><decommissioned>1978-04-29</decommissioned><pennant>DDG-36</pennant><notes>US NODC World Ocean Database platform id 1647.</notes>
31IJ	J. R. CRAIG	<country>UNITED STATES</country>
31IK	PICKET	<country>UNITED STATES</country>
31IL	RAIL	<country>UNITED STATES</country>
31IM	IMPERVIOUS	<country>UNITED STATES</country>
31IN	INGHAM	<country>UNITED STATES</country>
31IO	BASILONE	<country>UNITED STATES</country>
31IP	SCRIPPS T.441	<country>UNITED STATES</country>
31IQ	MEREDITH	<country>UNITED STATES</country>
31IR	IRONWOOD	<country>UNITED STATES</country>
31IT	ARGUS ISLAND	<country>UNITED STATES</country>
31IU	ILLUSIVE	<country>UNITED STATES</country>
31IV	INVESTIGATOR	<country>UNITED STATES</country>
31IW	BIGELOW	<title>USS</title><country>UNITED STATES</country><platformclass>39 Naval vessel</platformclass><callsign>NIYY</callsign><commissioned>1957</commissioned><decommissioned>1983</decommissioned><pennant>DD-942</pennant>
31IX	H. B. WILSON	<country>UNITED STATES</country>
31IY	ABILITY	<country>UNITED STATES</country>
31IZ	STRICKLAND	<country>UNITED STATES</country>
31J0	USNS MOHAWK	<country>UNITED STATES</country><notes>WMEC-913</notes>
31J1	C. JONES	<country>UNITED STATES</country>
31J2	PREBLE	<country>UNITED STATES</country>
31J3	O'BANNON	<country>UNITED STATES</country>
31J4	TRATHEN	<country>UNITED STATES</country>
31J5	C. P. CECIL	<country>UNITED STATES</country>
31J6	PERKINS	<country>UNITED STATES</country>
31J7	BORDELON	<country>UNITED STATES</country><platformclass>0 Unknown</platformclass>
31J8	SHELTON	<country>UNITED STATES</country>
31J9	TILLS	<country>UNITED STATES</country>
31JA	A. A. JAKKULA	<country>UNITED STATES</country>
31JB	J. A. BOLE	<country>UNITED STATES</country>
31JC	J. N. COBB	<country>UNITED STATES</country><callsign>WMVC</callsign><notes>NOAA SHIP</notes>
31JD	DAVID STARR JORDAN	<country>UNITED STATES</country><callsign>WTDK</callsign>
31JE	JENKINS	<country>UNITED STATES</country>
31JF	JACANA	<country>UNITED STATES</country>
31JG	J. W. GIBBS	<country>UNITED STATES</country>
31JH	COLAHAN	<country>UNITED STATES</country>
31JI	MAHAN	<country>UNITED STATES</country>
31JJ	HOOPER	<country>UNITED STATES</country>
31JK	J. W. MACKAY	<country>UNITED STATES</country>
31JL	E. L. JONES	<country>UNITED STATES</country><callsign>WL2699</callsign>
31JM	J. R. MANNING	<country>UNITED STATES</country>
31JN	J. P. JONES	<country>UNITED STATES</country>
31JO	JOYCE	<country>UNITED STATES</country>
31JP	J. E. PILLSBURY	<country>UNITED STATES</country>
31JQ	H. D. CROW	<country>UNITED STATES</country>
31JR	J. R. PIERCE	<country>UNITED STATES</country>
31JS	J. STRAUSS	<country>UNITED STATES</country>
31JT	JOHNSTON	<country>UNITED STATES</country>
31JU	CONFLICT	<country>UNITED STATES</country>
31JV	R.B. ANDERSON	<country>UNITED STATES</country>
31JW	J. W. THOMASON	<country>UNITED STATES</country>
31JX	IMPLICIT	<country>UNITED STATES</country>
31JY	J. P. KENNEDY JR.	<country>UNITED STATES</country>
31JZ	G. K. MCKENZIE	<country>UNITED STATES</country>
31K0	USS ORCAS	<country>UNITED STATES</country><callsign>NTBZ</callsign>
31K1	KOINER	<country>UNITED STATES</country>
31K2	R. F. KELLER	<country>UNITED STATES</country>
31K3	MCKEAN	<country>UNITED STATES</country>
31K4	COOK	<country>UNITED STATES</country>
31K5	HANK	<country>UNITED STATES</country>
31K6	KING	<country>UNITED STATES</country>
31K7	PICKING	<country>UNITED STATES</country>
31K8	W. KEITH	<country>UNITED STATES</country>
31K9	KEPPLER	<country>UNITED STATES</country>
31KA	KAHO	<country>UNITED STATES</country>
31KB	KASITSNA BAY	<country>UNITED STATES</country>
31KC	KIRKPATRICK	<country>UNITED STATES</country>
31KD	KIDD	<country>UNITED STATES</country>
31KE	G. B. KELEZ	<country>UNITED STATES</country>
31KF	F. B. PARKS	<country>UNITED STATES</country>
31KG	J. KING	<country>UNITED STATES</country>
31KH	STOCKHAM	<country>UNITED STATES</country>
31KI	KINGFISH	<country>UNITED STATES</country>
31KJ	KIT JONES	<country>UNITED STATES</country>
31KK	KUKUI	<country>UNITED STATES</country>
31KL	KLAMATH	<country>UNITED STATES</country>
31KM	KRETCHMER	<country>UNITED STATES</country>
31KN	KANE	<country>UNITED STATES</country>
31KO	F. KNOX	<country>UNITED STATES</country>
31KP	KINGSPORT	<country>UNITED STATES</country>
31KQ	L. MCCORMICK	<country>UNITED STATES</country>
31KR	KATHERINE	<country>UNITED STATES</country>
31KS	J. E. KYES	<country>UNITED STATES</country>
31KT	T. KATHEN	<country>UNITED STATES</country>
31KU	R. E. KRAUS	<country>UNITED STATES</country>
31KV	BLACKHAW	<country>UNITED STATES</country>
31KW	KAWISHIWI	<country>UNITED STATES</country>
31KX	WOODPECKER	<country>UNITED STATES</country>
31KY	KYMA	<country>UNITED STATES</country>
31KZ	STEINAKER	<country>UNITED STATES</country>
31L0	USS BATON ROUGE	<country>UNITED STATES</country><notes>SSN-689</notes>
31L1	LEAHY	<country>UNITED STATES</country>
31L2	ALCOR	<country>UNITED STATES</country><callsign>PCGV</callsign>
31L3	LINCOLN ROCK	<country>UNITED STATES</country>
31L4	CALCATERRA	<country>UNITED STATES</country>
31L5	LOOKOUT	<country>UNITED STATES</country>
31L6	WALLACE L. LIND	<country>UNITED STATES</country>
31L7	W. A. LEE	<country>UNITED STATES</country>
31L8	H. B. POWELL	<country>UNITED STATES</country>
31L9	BEALE	<country>UNITED STATES</country>
31LA	LADY LEONA	<country>UNITED STATES</country>
31LB	BLUE	<country>UNITED STATES</country>
31LC	LUCID	<title>USS</title><country>UNITED STATES</country><platformclass>39 Naval vessel</platformclass><commissioned>1955-05-04</commissioned><decommissioned>1970-12-23</decommissioned><notes>Hull Classification: MSO-458</notes>
31LD	LYDONIA	<country>UNITED STATES</country>
31LE	SELLERS	<country>UNITED STATES</country>
31LF	LAFFEY	<country>UNITED STATES</country>
31LG	E. G. SMALL	<country>UNITED STATES</country>
31LH	MARSHALL	<country>UNITED STATES</country>
31LI	LITTLEHALES	<country>UNITED STATES</country>
31LJ	LOWE	<country>UNITED STATES</country>
31LK	LORD KELVIN	<country>UNITED STATES</country>
31LL	LYDIA LOUISE	<country>UNITED STATES</country>
31LM	L. F. MASON	<country>UNITED STATES</country>
31LN	LANGLEY	<country>UNITED STATES</country>
31LO	LOUISVILLE	<country>UNITED STATES</country>
31LP	PLEDGE	<country>UNITED STATES</country>
31LQ	LOFBERG	<country>UNITED STATES</country>
31LR	LORD RAYLEIGH	<country>UNITED STATES</country>
31LS	SAMPLE	<country>UNITED STATES</country>
31LT	LOCATOR	<country>UNITED STATES</country>
31LU	LUCE	<country>UNITED STATES</country>
31LV	LONGVIEW	<country>UNITED STATES</country>
31LW	L. K. SWENSON	<country>UNITED STATES</country>
31LX	STALWART	<country>UNITED STATES</country>
31LY	LYNCH	<country>UNITED STATES</country>
31LZ	LESTER	<country>UNITED STATES</country>
31M0	USS SIMON LAKE	<country>UNITED STATES</country><notes>AS-33</notes>
31M1	SANTA MARIA	<country>UNITED STATES</country>
31M2	MUSKY II	<country>UNITED STATES</country>
31M3	MOLALA	<country>UNITED STATES</country>
31M4	MCARTHUR	<country>UNITED STATES</country>
31M5	AMERICAN BAY	<country>UNITED STATES</country><previous_name>MORMAC</previous_name>
31M6	MANLEY	<country>UNITED STATES</country>
31M7	MT. MITCHELL	<title>NOAA Ship</title><IMO>6710932</IMO><country>UNITED STATES</country><platformclass>31 Research vessel</platformclass><callsign>WTEG</callsign><commissioned>1968-03-19</commissioned><decommissioned>1995</decommissioned><pennant>S222</pennant><notes>Data at WOD 1968-1989. Data at ICES 1977-1990. WOD 1815.</notes>
31M8	MELLON	<country>UNITED STATES</country>
31M9	MOREA	<country>UNITED STATES</country>
31MA	MARION	<country>UNITED STATES</country><callsign>HP5071</callsign>
31MB	MISSION BUENAVENTURA	<country>UNITED STATES</country><callsign>WNGI</callsign>
31MC	MACKINAW	<country>UNITED STATES</country>
31MD	MILLICOMA	<country>UNITED STATES</country>
31ME	MENDOTA	<country>UNITED STATES</country>
31MF	MACDONOUGH	<country>UNITED STATES</country>
31MG	MATAGORDA	<country>UNITED STATES</country><callsign>WT2058</callsign>
31MH	R. H. MCCARD	<country>UNITED STATES</country>
31MI	MITKOF	<country>UNITED STATES</country>
31MJ	MOJAVE	<country>UNITED STATES</country>
31MK	MACKINAC	<country>UNITED STATES</country>
31ML	MCCULLOCH	<country>UNITED STATES</country>
31MM	MARMER	<country>UNITED STATES</country>
31MN	MINNETONKA	<country>UNITED STATES</country>
31MO	MODOC	<country>UNITED STATES</country>
31MP	MARIPOSA	<country>UNITED STATES</country><notes>WLB-397</notes>
31MQ	MORNING STAR	<country>UNITED STATES</country>
31MR	MARISE	<country>UNITED STATES</country>
31MS	MINE SWEEPING BOAT	<country>UNITED STATES</country>
31MT	M. TAYLOR	<country>UNITED STATES</country>
31MU	MAURY	<country>UNITED STATES</country><notes>NAVOCEANO</notes>
31MV	MARYSVILLE	<country>UNITED STATES</country>
31MW	MARINE VIEW	<country>UNITED STATES</country>
31MX	MURRE II	<country>UNITED STATES</country>
31MY	MASSEY	<country>UNITED STATES</country>
31MZ	MICHELSON	<country>UNITED STATES</country>
31N0	USNS HENRY J.KAISER	<country>UNITED STATES</country><notes>T-AO 187</notes>
31N1	NOA	<country>UNITED STATES</country><callsign>5MFK</callsign>
31N2	AMMEN	<country>UNITED STATES</country>
31N3	BENNER	<country>UNITED STATES</country>
31N4	MCNAIR	<country>UNITED STATES</country>
31N5	CACAPON	<country>UNITED STATES</country>
31N6	NEWELL	<country>UNITED STATES</country>
31N7	MORTON	<country>UNITED STATES</country>
31N8	CONE	<country>UNITED STATES</country>
31N9	BROWN	<country>UNITED STATES</country>
31NA	NAUTILUS	<country>UNITED STATES</country>
31NB	NOTABLE	<country>UNITED STATES</country>
31NC	NEPER	<country>UNITED STATES</country>
31ND	MONSSEN	<country>UNITED STATES</country>
31NE	USS NEREUS	<country>UNITED STATES</country>
31NF	NAIFEH	<country>UNITED STATES</country>
31NG	ENGAGE	<country>UNITED STATES</country>
31NH	NICHOLAS	<country>UNITED STATES</country>
31NI	NORRIS	<country>UNITED STATES</country>
31NJ	S. L. MOORE	<country>UNITED STATES</country>
31NK	NORFOLK	<country>UNITED STATES</country>
31NL	NORWALK	<country>UNITED STATES</country>
31NM	SAMPSON	<country>UNITED STATES</country>
31NN	NANTUCKET L/S	<country>UNITED STATES</country>
31NO	NORTHLAND	<country>UNITED STATES</country>
31NP	NEPTUNE	<country>UNITED STATES</country>
31NQ	SPROSTON	<country>UNITED STATES</country>
31NR	NARRAGANSETT	<country>UNITED STATES</country>
31NS	N. B. SCOFIELD	<country>UNITED STATES</country>
31NT	NATCHIK	<country>UNITED STATES</country>
31NU	NEW	<country>UNITED STATES</country>
31NV	MANSFIELD	<country>UNITED STATES</country>
31NW	NORTHWIND	<country>UNITED STATES</country>
31NX	HANSON	<country>UNITED STATES</country>
31NY	CONY	<country>UNITED STATES</country>
31NZ	HAMNER	<country>UNITED STATES</country>
31O0	USS KITTIWAKE	<country>UNITED STATES</country><notes>ASR-13</notes>
31O1	J. C. OWENS	<country>UNITED STATES</country>
31O2	O'HARE	<country>UNITED STATES</country>
31O3	COATES	<country>UNITED STATES</country>
31O4	CROSS	<country>UNITED STATES</country>
31O5	PROTECTOR	<country>UNITED STATES</country>
31O6	COMPTON	<country>UNITED STATES</country>
31O7	MOALE	<country>UNITED STATES</country>
31O8	OTTERSTETTER	<country>UNITED STATES</country>
31O9	ABBOT	<country>UNITED STATES</country>
31OA	ONAR	<country>UNITED STATES</country>
31OB	O'BRIEN	<country>UNITED STATES</country><notes>PRE 1977-12</notes>
31OC	OCEANOGRAPHER	<country>UNITED STATES</country>
31OD	OCEANIC	<country>UNITED STATES</country>
31OE	OREGON	<country>UNITED STATES</country>
31OF	O'CALLAHAN	<country>UNITED STATES</country>
31OG	OGLALA	<country>UNITED STATES</country>
31OH	HOH	<country>UNITED STATES</country>
31OI	OCEANITE	<country>UNITED STATES</country>
31OJ	Roy O. HALE	<title>USS</title><country>UNITED STATES</country><platformclass>39 Naval vessel</platformclass><callsign>NHEG</callsign><commissioned>1944-02-03</commissioned><decommissioned>1946-07-11</decommissioned><pennant>DER-336</pennant><notes>WOD Code 2458. reclassified and converted to DER-336, 21 October 1955. Recommissioned 29 January 1957, Decommissioned 15 July 1963. Stricken 1 August 1974. data archived at NODC by this platform was collected between 1957 and 1963. Platform name corrected from "R.O.Hale" to "Roy O. Hale"</notes>
31OK	ORLECK	<country>UNITED STATES</country>
31OL	COLLETT	<country>UNITED STATES</country>
31OM	OMEGA	<country>UNITED STATES</country>
31ON	ONCORHYCHUS	<country>UNITED STATES</country>
31OO	SHOSHONE	<country>UNITED STATES</country>
31OP	OCEAN PRIDE	<country>UNITED STATES</country>
31OQ	COTTEN	<country>UNITED STATES</country>
31OR	ORCA	<country>UNITED STATES</country>
31OS	ALAMINOS	<country>UNITED STATES</country>
31OT	OCONOSTOTA	<country>UNITED STATES</country>
31OU	BOUTWELL	<country>UNITED STATES</country>
31OV	OBSERVER	<country>UNITED STATES</country>
31OW	OWASCO	<country>UNITED STATES</country>
31OX	OCEANEER	<country>UNITED STATES</country>
31OY	BOYD	<country>UNITED STATES</country>
31OZ	COONTZ	<country>UNITED STATES</country>
31P0	USS ULYSSES S.GRANT	<country>UNITED STATES</country><notes>SSBN-631</notes>
31P1	AUTEC	<country>UNITED STATES</country><notes>PROJECT</notes>
31P2	USS PERSISTENT	<country>UNITED STATES</country><notes>T-AGOS 6</notes>
31P3	PINNACLE	<country>UNITED STATES</country>
31P4	PRIME	<country>UNITED STATES</country>
31P5	PASCAGOULA	<country>UNITED STATES</country>
31P6	PIKESARM	<country>UNITED STATES</country>
31P7	PRESTON	<country>UNITED STATES</country>
31P8	SCRIPPS PIER	<country>UNITED STATES</country>
31P9	POINT RETREAT	<country>UNITED STATES</country>
31PA	PANDA	<country>UNITED STATES</country>
31PB	PATTON	<country>UNITED STATES</country>
31PC	BRATTLEBORO	<country>UNITED STATES</country>
31PD	GEN. A. M. PATCH	<country>UNITED STATES</country>
31PE	PIERCE	<country>UNITED STATES</country>
31PF	PATHFINDER	<country>UNITED STATES</country>
31PG	PARAGON	<country>UNITED STATES</country>
31PH	PHALAROPE II	<country>UNITED STATES</country>
31PI	PIONEER	<country>UNITED STATES</country><notes>USC and GS</notes>
31PJ	J. R. PERRY	<country>UNITED STATES</country>
31PK	PARKER	<country>UNITED STATES</country>
31PL	PANULIRUS	<country>UNITED STATES</country>
31PM	PECOS	<country>UNITED STATES</country><callsign>KTSN</callsign>
31PN	PIONEER	<country>UNITED STATES</country><notes>FWS</notes>
31PO	PERSEUS	<country>UNITED STATES</country>
31PP	G. W. PIERCE	<country>UNITED STATES</country>
